Block,Timestamp,tri_usdt_oracle_new,tri_usdt_ref,tri_usdc_oracle_new,tri_usdc_ref,tri_llama_oracle_new,tri_llama_ref,tri_lsd_oracle_new,tri_lsd_ref,tri_crv_oracle_new,tri_crv_ref
18333360,1697101907,1043.3221821359875,1042.8134112396308,1044.449123908515,1044.0887601895001,1090.2631658142632,1090.0462660397802,5141.570072718764,5136.925936719318,27.010037540062577,27.039510034089034
18333580,1697104547,1042.7679444613243,1040.7134468780112,1041.7523482414974,1041.9846617707735,1089.5279288667082,1087.8056629635255,5109.950019124715,5105.747315468732,26.90396313018641,26.892690235277236
18333800,1697107235,1040.8359273514052,1039.7688157903024,1040.3897755779044,1041.0378729500655,1085.0437440323337,1087.0467287544775,5109.950019124715,5103.520575269209,26.863769738922137,26.887022185569045
18334020,1697109887,1040.8359273514052,1039.677312764216,1040.8467340820105,1040.944927603637,1085.0437440323337,1086.913292911714,5106.592140269311,5100.5241975342105,26.79685138687196,26.882099621858686
18334240,1697112551,1037.8029713426517,1042.5126292900695,1042.5190662788827,1043.7738533293982,1086.8083975334325,1089.030705584604,5117.191278192732,5119.127343772016,26.850625764892126,26.921110916482654
18334460,1697115191,1038.267734004681,1042.5127817544098,1042.2212467862487,1043.774924097119,1086.8083975334325,1089.0643518471647,5117.664477875794,5119.277457912009,26.864981194597263,26.921124859868268
18334680,1697117831,1038.267734004681,1040.97047026472,1042.4730550311886,1042.2365028333759,1086.8083975334325,1088.0836542621964,5110.2145778177055,5105.824461383024,26.874519291192346,26.89261895437854
18334900,1697120483,1038.267734004681,1038.9374424678026,1040.9584672249027,1040.2080482503175,1086.8083975334325,1085.7882114641343,5095.697886166832,5093.046623396011,26.849378323880025,26.871601654947018
18335120,1697123147,1039.521399979941,1038.7522521928502,1039.9559814588142,1040.0256487728607,1086.530885746883,1085.4958497707892,5091.388611174861,5089.724028735729,26.812389536420447,26.881469519703085
18335340,1697125811,1039.521399979941,1038.7522521928502,1040.318610081342,1040.0260707628222,1083.0362103038249,1085.497358057261,5091.388611174861,5089.724028735729,26.80211779162044,26.88146926036513
18335560,1697128475,1039.5243638903364,1037.309812357913,1038.9954653846573,1038.5835998179866,1085.4378622824595,1085.8323332380826,5094.726494544626,5075.4147323711295,26.774313190028256,26.744417965285393
18335780,1697131175,1037.8674547901371,1035.663780424293,1038.211133685002,1036.9865920773418,1081.562870375762,1082.9693254705203,5056.605470194605,5040.503318483955,26.703980506897953,26.706885821032987
18336000,1697133827,1037.8674547901371,1034.8106351954596,1035.3601496519204,1036.1447316631459,1078.773157969298,1081.4599542400906,5046.201179047741,5036.000588999755,26.627895687559395,26.703784494055345
18336220,1697136491,1037.8674547901371,1034.8106351954596,1036.3071749604903,1036.1478554579558,1078.773157969298,1081.4599542400906,5046.201179047741,5036.000588999755,26.669031782030633,26.70388014399408
18336440,1697139143,1036.237978915742,1035.7019350190612,1036.6748531714027,1037.0382400473293,1078.773157969298,1082.5425509345182,5054.602009162197,5042.929780520392,26.62704150175423,26.714995584498695
18336660,1697141795,1036.237978915742,1036.7200391716244,1037.6678120563454,1038.0538889426514,1078.8979585242191,1083.9659796988967,5063.31652517016,5048.172525916349,26.641444980937873,26.72126101431438
18336880,1697144459,1036.237978915742,1037.7135405038725,1038.0200361332465,1039.0477472740924,1078.8979585242191,1084.6476167161613,5068.795075231138,5057.16757014846,26.69136480598189,26.739747265794595
18337100,1697147111,1036.237978915742,1037.7166516926272,1039.027872815182,1039.0512239393895,1080.0545574444359,1084.650530998573,5068.795075231138,5057.16757014846,26.72604513305547,26.739817928452265
18337320,1697149763,1036.237978915742,1038.1612373938904,1039.754347250105,1039.4966742760503,1081.3510656163774,1084.9207357395933,5072.768055369879,5062.98081292046,26.76990548641458,26.844051559380816
18337540,1697152415,1036.237978915742,1038.7266161075627,1039.7970220012362,1040.061605327331,1081.3510656163774,1085.5267488819563,5079.187335026531,5069.229361980813,26.77459092777281,26.85501700240337
18337760,1697155103,1036.237978915742,1038.5740307345038,1039.7648787296362,1039.9105451507999,1082.1113488377248,1085.5045148684167,5079.973233960013,5068.714655812532,26.782557818669872,26.853046891522524
18337980,1697157779,1036.2393929916614,1038.749721546391,1041.2812724164614,1040.08718837258,1083.8420190973366,1085.5056724242509,5079.973233960013,5070.455959332386,26.788100762601154,26.857537168954508
18338200,1697160467,1036.9033679449028,1040.6497777139061,1042.3287049224898,1041.9761140774433,1084.9779312498943,1087.6112253537449,5096.117572328903,5085.34052780154,26.805816523155347,26.88270399939554
18338420,1697163119,1036.9033679449028,1040.7162253656466,1041.731659814384,1042.0428115015322,1084.9779312498943,1087.4921257855474,5094.877830432997,5085.900917583154,26.803605654831276,26.88514426598675
18338640,1697165771,1036.9033679449028,1040.1358577903602,1041.241143135816,1041.4637021474775,1085.0174117930148,1087.3283892826464,5094.877830432997,5081.696969525338,26.80421020752969,26.87425988349096
18338860,1697168459,1036.9033679449028,1040.1358577903602,1041.377988433068,1041.464264742563,1085.0174117930148,1087.1094986265425,5091.809880342863,5080.723717205422,26.806158670821926,26.874372043720378
